case_id,expected_status,pattern,bank_transaction_ids,erp_invoice_ids,gateway_transaction_ids,notes
H207,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00344|B00345,E00394|E00395,G00458|G00459,Identical amounts require entity/reference disambiguation.
H208,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00346|B00347,E00396|E00397,G00460|G00461,Identical amounts require entity/reference disambiguation.
H209,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00348|B00349,E00398|E00399,G00462|G00463,Identical amounts require entity/reference disambiguation.
H210,MATCHED,DUPLICATE_AMOUNT_COLLISION,B00350|B00351,E00400|E00401,G00464|G00465,Identical amounts require entity/reference disambiguation.
H211,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00352,E00402,G00466,Valid paise-level adjustment 0.05.
H212,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00353,E00403,G00467,Valid paise-level adjustment 0.05.
H213,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00354,E00404,G00468,Valid paise-level adjustment -0.03.
H214,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00355,E00405,G00469,Valid paise-level adjustment 0.01.
H215,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00356,E00406,G00470,Valid paise-level adjustment -0.03.
H216,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00357,E00407,G00471,Valid paise-level adjustment 0.05.
H217,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00358,E00408,G00472,Valid paise-level adjustment 0.03.
H218,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00359,E00409,G00473,Valid paise-level adjustment 0.03.
H219,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00360,E00410,G00474,Valid paise-level adjustment 0.03.
H220,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00361,E00411,G00475,Valid paise-level adjustment 0.05.
H221,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00362,E00412,G00476,Valid paise-level adjustment 0.01.
H222,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00363,E00413,G00477,Valid paise-level adjustment 0.01.
H223,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00364,E00414,G00478,Valid paise-level adjustment 0.05.
H224,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00365,E00415,G00479,Valid paise-level adjustment 0.01.
H225,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00366,E00416,G00480,Valid paise-level adjustment 0.01.
H226,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00367,E00417,G00481,Valid paise-level adjustment -0.03.
H227,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00368,E00418,G00482,Valid paise-level adjustment -0.02.
H228,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00369,E00419,G00483,Valid paise-level adjustment -0.02.
H229,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00370,E00420,G00484,Valid paise-level adjustment 0.01.
H230,MATCHED,ROUNDING_MICRO_ADJUSTMENT,B00371,E00421,G00485,Valid paise-level adjustment 0.03.
H231,MATCHED,LATE_BUT_VALID,B00372,E00422,G00486,Valid despite 28-day delay.
H232,MATCHED,LATE_BUT_VALID,B00373,E00423,G00487,Valid despite 15-day delay.
H233,MATCHED,LATE_BUT_VALID,B00374,E00424,G00488,Valid despite 45-day delay.
H234,MATCHED,LATE_BUT_VALID,B00375,E00425,G00489,Valid despite 35-day delay.
H235,MATCHED,LATE_BUT_VALID,B00376,E00426,G00490,Valid despite 15-day delay.
H236,MATCHED,LATE_BUT_VALID,B00377,E00427,G00491,Valid despite 15-day delay.
H237,MATCHED,LATE_BUT_VALID,B00378,E00428,G00492,Valid despite 21-day delay.
H238,MATCHED,LATE_BUT_VALID,B00379,E00429,G00493,Valid despite 45-day delay.
H239,MATCHED,LATE_BUT_VALID,B00380,E00430,G00494,Valid despite 21-day delay.
H240,MATCHED,LATE_BUT_VALID,B00381,E00431,G00495,Valid despite 21-day delay.
H241,MATCHED,LATE_BUT_VALID,B00382,E00432,G00496,Valid despite 28-day delay.
H242,MATCHED,LATE_BUT_VALID,B00383,E00433,G00497,Valid despite 21-day delay.
H243,MATCHED,LATE_BUT_VALID,B00384,E00434,G00498,Valid despite 45-day delay.
H244,MATCHED,LATE_BUT_VALID,B00385,E00435,G00499,Valid despite 28-day delay.
H245,MATCHED,LATE_BUT_VALID,B00386,E00436,G00500,Valid despite 28-day delay.
H246,MATCHED,LATE_BUT_VALID,B00387,E00437,G00501,Valid despite 21-day delay.
H247,MATCHED,LATE_BUT_VALID,B00388,E00438,G00502,Valid despite 28-day delay.
H248,MATCHED,LATE_BUT_VALID,B00389,E00439,G00503,Valid despite 45-day delay.
H249,MATCHED,LATE_BUT_VALID,B00390,E00440,G00504,Valid despite 15-day delay.
H250,MATCHED,LATE_BUT_VALID,B00391,E00441,G00505,Valid despite 15-day delay.
H251,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00392,E00442,G00506|G00507,Manual positive/negative adjustment included.
H252,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00393,E00443,G00508|G00509,Manual positive/negative adjustment included.
H253,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00394,E00444,G00510|G00511,Manual positive/negative adjustment included.
H254,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00395,E00445,G00512|G00513,Manual positive/negative adjustment included.
H255,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00396,E00446,G00514|G00515,Manual positive/negative adjustment included.
H256,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00397,E00447,G00516|G00517,Manual positive/negative adjustment included.
H257,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00398,E00448,G00518|G00519,Manual positive/negative adjustment included.
H258,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00399,E00449,G00520|G00521,Manual positive/negative adjustment included.
H259,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00400,E00450,G00522|G00523,Manual positive/negative adjustment included.
H260,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00401,E00451,G00524|G00525,Manual positive/negative adjustment included.
H261,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00402,E00452,G00526|G00527,Manual positive/negative adjustment included.
H262,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00403,E00453,G00528|G00529,Manual positive/negative adjustment included.
H263,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00404,E00454,G00530|G00531,Manual positive/negative adjustment included.
H264,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00405,E00455,G00532|G00533,Manual positive/negative adjustment included.
H265,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00406,E00456,G00534|G00535,Manual positive/negative adjustment included.
H266,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00407,E00457,G00536|G00537,Manual positive/negative adjustment included.
H267,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00408,E00458,G00538|G00539,Manual positive/negative adjustment included.
H268,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00409,E00459,G00540|G00541,Manual positive/negative adjustment included.
H269,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00410,E00460,G00542|G00543,Manual positive/negative adjustment included.
H270,MATCHED,CREDIT_DEBIT_ADJUSTMENT,B00411,E00461,G00544|G00545,Manual positive/negative adjustment included.
H271,UNMATCHED,BANK_ONLY,B00412,,,No counterpart.
H272,UNMATCHED,BANK_ONLY,B00413,,,No counterpart.
H273,UNMATCHED,BANK_ONLY,B00414,,,No counterpart.
H274,UNMATCHED,BANK_ONLY,B00415,,,No counterpart.
H275,UNMATCHED,BANK_ONLY,B00416,,,No counterpart.
H276,UNMATCHED,BANK_ONLY,B00417,,,No counterpart.
H277,UNMATCHED,BANK_ONLY,B00418,,,No counterpart.
H278,UNMATCHED,BANK_ONLY,B00419,,,No counterpart.
H279,UNMATCHED,BANK_ONLY,B00420,,,No counterpart.
H280,UNMATCHED,BANK_ONLY,B00421,,,No counterpart.
H281,UNMATCHED,ERP_ONLY,,E00462,,No payment.
H282,UNMATCHED,ERP_ONLY,,E00463,,No payment.
H283,UNMATCHED,ERP_ONLY,,E00464,,No payment.
H284,UNMATCHED,ERP_ONLY,,E00465,,No payment.
H285,UNMATCHED,ERP_ONLY,,E00466,,No payment.
H286,UNMATCHED,ERP_ONLY,,E00467,,No payment.
H287,UNMATCHED,ERP_ONLY,,E00468,,No payment.
H288,UNMATCHED,ERP_ONLY,,E00469,,No payment.
H289,UNMATCHED,ERP_ONLY,,E00470,,No payment.
H290,UNMATCHED,ERP_ONLY,,E00471,,No payment.
H291,UNMATCHED,GATEWAY_ONLY,,,G00546,No counterpart.
H292,UNMATCHED,GATEWAY_ONLY,,,G00547,No counterpart.
H293,UNMATCHED,GATEWAY_ONLY,,,G00548,No counterpart.
H294,UNMATCHED,GATEWAY_ONLY,,,G00549,No counterpart.
H295,UNMATCHED,GATEWAY_ONLY,,,G00550,No counterpart.
H296,UNMATCHED,GATEWAY_ONLY,,,G00551,No counterpart.
H297,UNMATCHED,GATEWAY_ONLY,,,G00552,No counterpart.
H298,UNMATCHED,GATEWAY_ONLY,,,G00553,No counterpart.
H299,UNMATCHED,GATEWAY_ONLY,,,G00554,No counterpart.
H300,UNMATCHED,GATEWAY_ONLY,,,G00555,No counterpart.
H301,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00422,E00472,G00556,Exact amount but entity/reference contradiction.
H302,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00423,E00473,G00557,Exact amount but entity/reference contradiction.
H303,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00424,E00474,G00558,Exact amount but entity/reference contradiction.
H304,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00425,E00475,G00559,Exact amount but entity/reference contradiction.
H305,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00426,E00476,G00560,Exact amount but entity/reference contradiction.
H306,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00427,E00477,G00561,Exact amount but entity/reference contradiction.
H307,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00428,E00478,G00562,Exact amount but entity/reference contradiction.
H308,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00429,E00479,G00563,Exact amount but entity/reference contradiction.
H309,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00430,E00480,G00564,Exact amount but entity/reference contradiction.
H310,UNMATCHED,WRONG_ENTITY_SAME_AMOUNT,B00431,E00481,G00565,Exact amount but entity/reference contradiction.
H311,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00432,E00482|E00483,G00566|G00567,Exact subset sum but customer/time evidence contradicts.
H312,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00433,E00484|E00485,G00568|G00569,Exact subset sum but customer/time evidence contradicts.
H313,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00434,E00486|E00487,G00570|G00571,Exact subset sum but customer/time evidence contradicts.
H314,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00435,E00488|E00489,G00572|G00573,Exact subset sum but customer/time evidence contradicts.
H315,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00436,E00490|E00491,G00574|G00575,Exact subset sum but customer/time evidence contradicts.
H316,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00437,E00492|E00493,G00576|G00577,Exact subset sum but customer/time evidence contradicts.
H317,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00438,E00494|E00495,G00578|G00579,Exact subset sum but customer/time evidence contradicts.
H318,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00439,E00496|E00497,G00580|G00581,Exact subset sum but customer/time evidence contradicts.
H319,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00440,E00498|E00499,G00582|G00583,Exact subset sum but customer/time evidence contradicts.
H320,UNMATCHED,COMBINATORIAL_FALSE_POSITIVE,B00441,E00500|E00501,G00584|G00585,Exact subset sum but customer/time evidence contradicts.
